Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\AccountDeleter.csproj,,,,,,,,Current target framework: net472 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,99,98,T:System.Uri,,,,,set => throw new NotImplementedException();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,99,54,T:System.Uri,,,,,get => throw new NotImplementedException();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,99,8,T:System.Uri,,,,,public Uri PreviewSearchServiceUriSecondary
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,98,96,T:System.Uri,,,,,set => throw new NotImplementedException();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,98,52,T:System.Uri,,,,,get => throw new NotImplementedException();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,98,8,T:System.Uri,,,,,public Uri PreviewSearchServiceUriPrimary
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,97,91,T:System.Uri,,,,,set => throw new NotImplementedException();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,97,47,T:System.Uri,,,,,get => throw new NotImplementedException();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,97,8,T:System.Uri,,,,,public Uri SearchServiceUriSecondary
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,96,89,T:System.Uri,,,,,set => throw new NotImplementedException();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,96,45,T:System.Uri,,,,,get => throw new NotImplementedException();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,src\AccountDeleter\AccountDeleter.csproj,File,src\AccountDeleter\Configuration\GalleryConfiguration.cs,96,8,T:System.Uri,,,,,public Uri SearchServiceUriPrimary
